,Unnamed: 0,time[ms],cpu_load,cpu_scaling_freq,w
0,0,0,,1708.0,1.0
1,0,0,,1708.0,1.0745248
2,0,0,,1708.0,1.0
3,0,0,,1708.0,1.0745248
4,0,0,,1708.0,1.0
5,0,0,,1708.0,1.0745248
6,0,0,,1708.0,1.0
7,0,0,,1708.0,1.0745248
8,0,0,,1708.0,1.0
9,0,0,,1708.0,1.0745248
10,0,0,,1708.0,1.0
11,0,0,,1708.0,1.0745248
12,0,0,,1708.0,1.0
13,0,0,,1708.0,1.0745248
14,0,0,,1708.0,1.0
15,0,0,,1708.0,1.0745248
16,0,0,,1708.0,1.0
17,0,0,,1708.0,1.0745248
18,0,0,,1708.0,1.0
19,0,0,,1708.0,1.0745248
20,0,0,,1708.0,1.0
21,0,0,,1708.0,1.0745248
22,0,0,,1708.0,1.0
23,0,0,,1708.0,1.0745248
24,0,0,,1708.0,1.0
25,0,0,,1708.0,1.0745248
26,0,0,,1708.0,1.0
27,0,0,,1708.0,1.0745248
28,0,0,,1708.0,1.0
29,0,0,,1708.0,1.0745248
30,0,0,,1708.0,1.0
31,0,0,,1708.0,1.0745248
32,0,0,,1708.0,1.0
33,0,0,,1708.0,1.0745248
34,0,0,,1708.0,1.0
35,0,0,,1708.0,1.0745248
36,0,0,,1708.0,1.0
37,0,0,,1708.0,1.0745248
38,0,0,,1708.0,1.0
39,0,0,,1708.0,1.0745248
40,0,0,,1708.0,1.0
41,0,0,,1708.0,1.0745248
42,0,0,,1708.0,1.0
43,0,0,,1708.0,1.0745248
44,0,0,,1708.0,1.0
45,0,0,,1708.0,1.0745248
46,0,0,,1708.0,1.0
47,0,0,,1708.0,1.0745248
48,0,0,,1708.0,1.0
49,0,0,,1708.0,1.0745248
50,0,0,,1708.0,1.0
51,0,0,,1708.0,1.0745248
52,0,0,,1708.0,1.0
53,0,0,,1708.0,1.0745248
54,0,0,,1708.0,1.0
55,0,0,,1708.0,1.0745248
56,0,0,,1708.0,1.0
57,0,0,,1708.0,1.0745248
58,0,0,,1708.0,1.0
59,0,0,,1708.0,1.0745248
60,0,0,,1708.0,1.0
61,0,0,,1708.0,1.0745248
62,0,0,,1708.0,1.0
63,0,0,,1708.0,1.0745248
64,0,0,,1708.0,1.0
65,0,0,,1708.0,1.0745248
66,0,0,,1708.0,1.0
67,0,0,,1708.0,1.0745248
68,0,0,,1708.0,1.0
69,0,0,,1708.0,1.0745248
70,0,0,,1708.0,1.0
71,0,0,,1708.0,1.0745248
72,0,0,,1708.0,1.0
73,0,0,,1708.0,1.0745248
74,0,0,,1708.0,1.0
75,0,0,,1708.0,1.0745248
76,0,0,,1708.0,1.0
77,0,0,,1708.0,1.0745248
78,0,0,,1708.0,1.0
79,0,0,,1708.0,1.0745248
80,0,0,,1708.0,1.0
81,0,0,,1708.0,1.0745248
82,0,0,,1708.0,1.0
83,0,0,,1708.0,1.0745248
84,0,0,,1708.0,1.0
