time,w
12:48:07:719051,2.22423
12:48:07:922651,2.22423
12:48:08:187057,2.22423
12:48:08:465702,2.22423
12:48:08:767323,2.22423
12:48:09:011725,2.22423
12:48:09:271339,2.22423
12:48:09:547539,2.22423
12:48:09:856958,2.22876
12:48:10:091030,2.22876
12:48:10:351833,2.22423
12:48:10:630706,2.22423
12:48:10:945916,2.22423
12:48:11:163456,2.22423
12:48:11:440002,2.22423
12:48:11:721359,2.22423
12:48:12:034939,2.22914
12:48:12:245972,2.22914
12:48:12:526037,2.22423
12:48:12:840346,2.22423
12:48:13:064995,2.22423
12:48:13:329063,2.22423
12:48:13:598736,2.22423
12:48:13:890217,2.22423
12:48:14:156289,2.22423
12:48:14:423526,2.22423
12:48:14:697361,2.22423
12:48:14:989544,2.22423
12:48:15:239677,2.22423
12:48:15:510227,2.22423
