,time[ms],pmodel
0,0,1.4863800573508161
1,100,1.4863800573508161
2,200,1.495383509272839
3,300,1.4936319628219015
4,400,1.5071765640995238
5,500,1.4281739957048951
6,600,1.4051210271137915
7,700,1.3465352810206839
8,800,1.403032332261752
9,900,1.4788973126058949
10,1000,1.2134557869961013
11,1100,1.195763084688409
12,1200,1.2942434737759188
13,1300,1.2388378180166861
14,1400,1.0914449686952628
15,1500,1.0133317078562354
16,1600,1.0317069179284775
17,1700,0.9380360686693122
18,1800,1.071577156091362
19,1900,1.0296085960244388
20,2000,0.9680311893920505
21,2100,1.0041183820738562
22,2200,1.043656834074533
23,2300,1.2405714320825485
24,2400,1.1400171429649428
25,2500,1.0053736110959597
26,2600,1.1243421008782994
27,2700,1.070425834918522
28,2800,1.0560145601660214
29,2900,0.9087865744119467
30,3000,0.8270835263822855
31,3100,0.8649964424554851
32,3200,0.983518136228484
33,3300,1.0010359190386073
34,3400,1.244801536817
35,3500,0.8930643042703288
36,3600,1.0567183859478595
37,3700,1.0737957585376519
38,3800,1.1937668856419972
39,3900,1.0174772620814294
40,4000,0.9636901064291766
41,4100,0.8726320072799312
42,4200,0.9720122622643327
43,4300,1.2385598206034674
44,4400,1.0150201796188463
45,4500,1.1136305645619067
46,4600,0.9745364331876915
47,4700,1.04807558513986
48,4800,1.0602629415738152
49,4900,1.0440776887510044
50,5000,1.1157816414549
51,5100,0.945752503645974
52,5200,1.0940362153910046
53,5300,1.1080983158521756
54,5400,0.8934070201660723
55,5500,0.8647057951257135
56,5600,1.1038382926340287
57,5700,0.9289365958729471
58,5800,1.0612557863909649
59,5900,0.9475811430073848
60,6000,0.9547899972209456
61,6100,0.9272591918533616
62,6200,0.8589553683258963
63,6300,1.2697160330792543
64,6400,1.0961225158433234
65,6500,1.2498317550036955
66,6600,1.106573787737374
67,6700,1.0961713467651513
68,6800,1.0520720750295771
69,6900,1.0711208553090912
70,7000,0.8697679141981052
71,7100,0.8957111890875139
72,7200,0.8515980106351475
73,7300,1.130586128749222
74,7400,1.0827294577933948
75,7500,1.1393560711914619
76,7600,1.0895418443887337
77,7700,1.0255473590609538
78,7800,1.060524924619175
79,7900,
80,8000,
