time,w
14:12:19:610506,2.0131
14:12:19:879943,2.0131
14:12:20:155999,1.74029
14:12:20:488446,1.74029
14:12:20:694198,1.8204
14:12:20:959023,1.8204
14:12:21:235895,2.1021
14:12:21:531505,2.1021
14:12:21:774251,1.9885500000000003
14:12:22:046278,1.9885500000000003
14:12:22:325224,1.47212
14:12:22:592465,1.47212
14:12:22:861779,1.22016
14:12:23:128305,1.22016
14:12:23:426775,1.44742
14:12:23:665282,1.44742
14:12:23:944460,0.7519800000000001
14:12:24:210924,0.7519800000000001
14:12:24:554547,0.91448
14:12:24:754828,0.91448
14:12:25:024251,0.71214
14:12:25:302882,0.71214
14:12:25:607622,0.66234
14:12:25:837425,0.66234
14:12:26:107397,0.66234
14:12:26:434783,0.66234
14:12:26:654725,0.6772800000000001
14:12:26:915038,0.6772800000000001
14:12:27:187321,0.6822600000000001
14:12:27:464770,0.6822600000000001
14:12:27:738672,0.71712
