time[ms],cpu_load,cpu_scaling_freq
0,,
100,0.9852216748768473,
200,0.8819875776397516,
300,0.762589928057554,
400,0.8938547486033519,
500,0.967391304347826,
600,0.9571428571428572,
700,0.9029850746268657,
800,0.8203592814371258,
900,0.7911392405063291,
1000,0.8290155440414507,
1100,0.7756410256410257,
1200,0.9242424242424242,
1300,0.9423076923076923,
1400,0.8934010152284264,
1500,0.8314606741573034,
1600,0.7637362637362637,
1700,0.6514285714285715,
1800,0.6120689655172413,
1900,0.6527777777777778,
2000,0.6710526315789473,
2100,0.6551724137931034,
2200,0.6606060606060606,
2300,0.6363636363636364,
2400,0.6708860759493671,
2500,0.7046979865771812,
2600,0.7039106145251397,
2700,0.6162790697674418,
2800,0.6666666666666666,
2900,0.6502732240437158,
3000,0.6666666666666666,
3100,0.6728971962616822,
3200,0.7417218543046358,
3300,0.6470588235294118,
3400,0.6515151515151515,
3500,0.6302521008403361,
3600,0.6140350877192983,
3700,0.6381578947368421,
3800,0.577922077922078,
3900,0.6453488372093024,
4000,0.6583850931677019,
4100,0.6325301204819277,
4200,0.6890756302521008,
4300,0.6432748538011696,
4400,0.6181818181818182,
4500,0.7039473684210527,
4600,0.6283783783783784,
4700,0.6685714285714286,
4800,0.6373056994818653,
4900,0.6388888888888888,
5000,0.6590909090909091,
5100,,
5200,,
5300,,
5400,,
5500,,
5600,,
5700,,
5800,,
5900,,
6000,,
6100,,
6200,,
6300,,
6400,,
6500,,
6600,,
6700,,
6800,,
6900,,
7000,,
7100,,
7200,,
7300,,
7400,,
7500,,
7600,,
7700,,
7800,,
7900,,
8000,,
8100,,
8200,,
8300,,
8400,,
8500,,
8600,,
8700,0.5777777777777777,
