time[ms],cpu_load,cpu_scaling_freq
0,,
100,0.8703703703703703,
200,0.9672131147540983,
300,0.9468599033816425,
400,0.8219895287958116,
500,0.7668711656441718,
600,0.7375886524822695,
700,0.6551724137931034,
800,0.6727272727272727,
900,0.6772151898734177,
1000,0.8895348837209303,
1100,0.8531468531468531,
1200,0.8611111111111112,
1300,0.9477124183006536,
1400,0.8562091503267973,
1500,0.8206896551724138,
1600,0.8301886792452831,
1700,0.7486910994764397,
1800,0.7354838709677419,
1900,0.6642857142857143,
2000,0.6580645161290323,
2100,0.6346153846153846,
2200,0.5751633986928104,
2300,0.61875,
2400,0.6042780748663101,
2500,0.6324786324786325,
2600,0.5857142857142857,
2700,0.6323529411764706,
2800,0.6339869281045751,
2900,0.6328502415458938,
3000,0.6341463414634146,
3100,0.6301369863013698,
3200,0.6172839506172839,
3300,0.6307692307692307,
3400,0.6062992125984252,
3500,0.6387096774193548,
3600,0.5277777777777778,
3700,0.6187050359712231,
3800,0.6216216216216216,
3900,0.631578947368421,
4000,0.6544117647058824,
4100,0.636986301369863,
4200,0.6025641025641025,
4300,0.6201117318435754,
4400,0.6020942408376964,
4500,0.6176470588235294,
4600,0.528169014084507,
4700,0.6057692307692307,
4800,,
4900,,
5000,,
5100,,
5200,,
5300,,
5400,,
5500,,
5600,,
5700,,
5800,,
5900,,
6000,,
6100,,
6200,,
6300,,
6400,,
6500,,
6600,,
6700,,
6800,,
6900,,
7000,0.6157894736842106,
7100,0.6164383561643836,
7200,0.6176470588235294,
7300,0.5860215053763441,
7400,0.6267605633802817,
7500,0.5789473684210527,
7600,0.6164383561643836,
7700,0.6125,
7800,0.631578947368421,
7900,,
8000,,
