,time[ms],pmodel
0,0,1.5485600704536546
1,100,1.5485600704536546
2,200,1.2571759814281722
3,300,1.44027082216792
4,400,1.4539356930875575
5,500,1.4787677544600135
6,600,1.3936597081083542
7,700,1.3740774496381922
8,800,1.2799995321085045
9,900,1.304874756228493
10,1000,1.3051336854283204
11,1100,1.4792545112607312
12,1200,1.584605659715054
13,1300,1.5754083421238247
14,1400,1.3173370814717176
15,1500,1.2033091953445854
16,1600,1.1361616734082252
17,1700,1.0836139771721416
18,1800,0.9275520387414457
19,1900,0.9778326201060604
20,2000,1.0756919150119049
21,2100,1.0499377818295148
22,2200,0.980729690839118
23,2300,0.96190093182015
24,2400,1.0453875887333601
25,2500,1.1364247142050488
26,2600,1.2275330073390425
27,2700,1.292291832502019
28,2800,1.243967293445853
29,2900,1.2553423349906758
30,3000,0.9468807771818182
31,3100,1.0913188857839313
32,3200,1.1387259213526497
33,3300,1.0238598197324769
34,3400,1.03467289417484
35,3500,1.0554045933382996
36,3600,0.9963030643960412
37,3700,1.1045104919628876
38,3800,0.9836300547393161
39,3900,1.156464559369748
40,4000,1.140201342151515
41,4100,0.976177439603883
42,4200,1.0863697108214594
43,4300,1.0249040599073593
44,4400,1.0981571974800177
45,4500,1.205800815666909
46,4600,0.992203759150969
47,4700,0.9646475776731601
48,4800,1.0275714964044553
49,4900,1.0590854240453607
50,5000,1.0927174488878566
51,5100,1.1264930667272828
52,5200,1.0590884127442504
53,5300,1.234487554781421
54,5400,1.127980287062433
55,5500,1.1005718342623716
56,5600,1.2378748168953848
57,5700,1.1340800281106396
58,5800,1.182946890073704
59,5900,1.110758171083218
60,6000,0.9140629844920473
61,6100,1.1238041889909924
62,6200,1.0275824839040406
63,6300,1.1419196137858147
64,6400,1.2269868970698257
65,6500,1.0000873090985216
66,6600,1.2072348370349926
67,6700,1.2492995692011544
68,6800,1.0316031325637027
69,6900,1.0672305866854224
70,7000,0.8936420931077885
71,7100,1.2249792478391055
72,7200,1.0956929871511165
73,7300,1.1979242746730563
74,7400,1.3441794869643608
75,7500,1.1918235396252328
76,7600,
77,7700,
78,7800,
79,7900,
80,8000,
