time[ms],cpu_load,cpu_scaling_freq
0,,
100,0.9855072463768116,
200,0.8958333333333334,
300,0.7876712328767124,
400,0.9370629370629371,
500,0.9497206703910615,
600,0.9850746268656716,
700,0.8148148148148148,
800,0.8798076923076923,
900,0.7853658536585366,
1000,0.7350427350427351,
1100,0.7105263157894737,
1200,0.4280701754385965,
1300,0.5401459854014599,
1400,0.6417910447761194,
1500,0.64,
1600,0.6291390728476821,
1700,0.6184971098265896,
1800,0.6222222222222222,
1900,0.5974025974025974,
2000,0.6805555555555556,
2100,,
2200,,
2300,0.42342342342342343,
2400,0.6090225563909775,
2500,0.6111111111111112,
2600,0.5975609756097561,
2700,0.625,
2800,0.6066666666666667,
2900,0.6231884057971014,
3000,0.581081081081081,
3100,0.609271523178808,
3200,0.6057142857142858,
3300,0.39823008849557523,
3400,0.5454545454545454,
3500,0.639751552795031,
3600,0.6443298969072165,
3700,0.60431654676259,
3800,0.5732484076433121,
3900,0.6476683937823834,
4000,0.6594202898550725,
4100,0.5507246376811594,
4200,0.6158536585365854,
4300,0.54,
4400,0.5165562913907285,
4500,0.6530612244897959,
4600,0.6754966887417219,
4700,0.5897435897435898,
4800,0.5867346938775511,
4900,0.6190476190476191,
5000,0.6513157894736842,
5100,0.65,
5200,0.61875,
5300,0.6063829787234043,
5400,0.6283783783783784,
5500,0.6118421052631579,
5600,0.6381578947368421,
5700,0.6201550387596899,
5800,0.6122448979591837,
5900,0.6436781609195402,
6000,0.5813953488372093,
6100,0.6223776223776224,
6200,0.6028368794326241,
6300,0.5891891891891892,
6400,0.45263157894736844,
6500,0.6326530612244898,
6600,0.6143790849673203,
6700,0.5838509316770186,
6800,0.589041095890411,
6900,0.5828220858895705,
7000,0.6423841059602649,
7100,0.6413793103448275,
7200,0.5628415300546448,
7300,0.6016260162601627,
7400,0.628099173553719,
7500,0.3671875,
7600,0.6423357664233577,
7700,0.6482758620689655,
7800,0.5961538461538461,
7900,0.6041666666666666,
8000,0.6049382716049383,
