,time[ms],pmodel
0,0,1.5524442801391491
1,100,1.5524442801391491
2,200,1.2816038289568965
3,300,1.1696777852320746
4,400,0.92125686595202
5,500,0.9859026498573974
6,600,1.0785995897727272
7,700,0.8809935003855603
8,800,0.8662829891402862
9,900,0.784455713155289
10,1000,1.21871160583057
11,1100,1.3086410621560023
12,1200,1.285696437588657
13,1300,1.2342111281499615
14,1400,1.3821004912753225
15,1500,1.305407253255725
16,1600,1.2725560693205589
17,1700,1.2913445339492604
18,1800,1.5534386991742428
19,1900,1.5470907095255604
20,2000,1.5429948109774339
21,2100,1.3694509295251636
22,2200,1.2485495500707393
23,2300,1.291156303973438
24,2400,1.274453621279903
25,2500,1.2285185712954823
26,2600,1.2112597597186254
27,2700,1.1293014208481473
28,2800,1.262667952589433
29,2900,1.262091976287771
30,3000,1.2589310140549124
31,3100,1.3256061393609673
32,3200,1.141108242116951
33,3300,0.9389703627437579
34,3400,1.2262644982569495
35,3500,1.1488001356615265
36,3600,1.143396203881896
37,3700,1.1112591482286973
38,3800,1.1245288000672158
39,3900,1.1972705362416471
40,4000,1.1194820683640248
41,4100,1.2872493875484747
42,4200,1.2589102349841088
43,4300,1.0363803222889523
44,4400,1.2279695518303502
45,4500,1.1672867887389393
46,4600,1.1320209616236854
47,4700,1.139456308339161
48,4800,1.334489657002215
49,4900,0.9063911293870242
50,5000,1.1634366684572228
51,5100,1.157460809449495
52,5200,1.0720020400066845
53,5300,1.045390839764753
54,5400,1.2081990626794776
55,5500,1.0955723410263434
56,5600,1.0928905651796907
57,5700,1.1025549191472344
58,5800,1.2752241336936243
59,5900,1.2545431264401579
60,6000,1.1159376975682846
61,6100,1.1366284488742764
62,6200,1.2416196668115846
63,6300,1.1750700278171236
64,6400,1.0897436714013438
65,6500,1.1945219359775385
66,6600,1.2660415946515156
67,6700,1.2357882386431505
68,6800,1.3764696044025553
69,6900,1.223714257921523
70,7000,1.1103636674352253
71,7100,1.0339787210867586
72,7200,1.2610534280201193
73,7300,1.22470745078656
74,7400,1.2834743379809783
75,7500,1.1723700643228856
76,7600,1.16634560881448
77,7700,1.259614722927739
78,7800,
79,7900,
80,8000,
