time,w
15:31:31:121287,2.1075899999999996
15:31:31:349913,2.1075899999999996
15:31:31:617649,2.1075899999999996
15:31:31:891735,2.1119000000000003
15:31:32:150743,2.1119000000000003
15:31:32:430744,2.11621
15:31:32:701489,2.11621
15:31:33:007010,2.11621
15:31:33:234358,2.11621
15:31:33:507650,2.12112
15:31:33:790070,2.12112
15:31:34:094423,2.11621
15:31:34:330408,2.11621
15:31:34:591549,2.12112
15:31:34:869824,2.12112
15:31:35:188869,2.11621
15:31:35:411524,2.11621
15:31:35:684079,2.11621
15:31:35:947829,2.11621
15:31:36:287781,2.11621
15:31:36:484781,2.11621
15:31:36:787439,2.11621
15:31:37:041463,2.11621
15:31:37:351587,2.11621
15:31:37:579240,2.11621
15:31:37:851478,2.12112
15:31:38:158008,2.12112
15:31:38:381722,2.11621
15:31:38:690265,2.11621
15:31:38:935911,2.11621
