time,w
01:16:52:099484,1.6681500000000002
01:16:52:331536,1.6681500000000002
01:16:52:591226,1.6681500000000002
01:16:52:863339,1.6681500000000002
01:16:53:141030,1.57232
01:16:53:410478,1.57232
01:16:53:685617,0.54
01:16:53:981417,0.54
01:16:54:228527,0.49
01:16:54:493356,0.49
01:16:54:769611,0.88146
01:16:55:041312,0.88146
01:16:55:310936,0.8433100000000001
01:16:55:582070,0.8433100000000001
01:16:55:849789,0.8582799999999999
01:16:56:135066,0.8582799999999999
01:16:56:388465,0.87648
01:16:56:655706,0.87648
01:16:56:937718,0.505
01:16:57:239407,0.505
01:16:57:478472,0.5638700000000001
01:16:57:747512,0.5638700000000001
01:16:58:022071,0.53
01:16:58:289744,0.53
01:16:58:566625,0.6636700000000001
01:16:58:823838,0.6636700000000001
01:16:59:111035,0.505
01:16:59:370905,0.505
01:16:59:643098,0.49
01:16:59:917802,0.49
01:17:00:194434,0.70858
