,time[ms],pmodel
0,0,1.6174716611073126
1,100,1.6174716611073126
2,200,1.3882922343211104
3,300,1.0304245065477629
4,400,1.235486042095376
5,500,1.1792428086555349
6,600,1.3578353857418075
7,700,1.5253394128935316
8,800,1.461011192500135
9,900,1.521596926666891
10,1000,1.4262269304848618
11,1100,1.278953083107226
12,1200,1.43630278345979
13,1300,1.4506319372738927
14,1400,1.5615541568670577
15,1500,1.5704094175099153
16,1600,1.5081816123265175
17,1700,1.2020111979602088
18,1800,1.1250652114646464
19,1900,1.360936547278465
20,2000,1.438176688483202
21,2100,1.4286638891751666
22,2200,1.3143055617299608
23,2300,1.1286725637312647
24,2400,1.168815217845895
25,2500,1.2436481548198404
26,2600,0.9345391268803419
27,2700,1.3804808957885157
28,2800,1.2357939039090908
29,2900,1.1706146487209597
30,3000,0.9695360351663035
31,3100,0.9847877701937645
32,3200,1.0256307786404681
33,3300,1.0783854216129676
34,3400,1.1118266489168294
35,3500,1.0229634216223014
36,3600,1.1370463202191599
37,3700,1.1370967324478083
38,3800,1.191132679175844
39,3900,1.2310427125768748
40,4000,0.9872196834858807
41,4100,1.0225872850631315
42,4200,
43,4300,
44,4400,
45,4500,
