time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,1.0,1996.0
200,1.0,1996.0
300,1.0,1996.0
400,,
500,,1996.0
600,0.8666666666666667,1996.0
700,,
800,,1996.0
900,0.9166666666666666,979.0
1000,0.47058823529411764,1996.0
1100,,
1200,,1996.0
1300,0.9166666666666666,1996.0
1400,0.9285714285714286,1536.0
1500,0.0,1996.0
1600,0.3333333333333333,1843.0
1700,0.25,825.0
1800,,
1900,,1996.0
2000,,
2100,,825.0
2200,0.1111111111111111,825.0
2300,0.06666666666666667,1536.0
2400,0.0,1747.0
2500,,
2600,,1843.0
2700,0.5333333333333333,1996.0
2800,0.36363636363636365,1996.0
2900,0.36363636363636365,1996.0
3000,,
3100,,1996.0
3200,0.3333333333333333,1996.0
3300,0.4,1536.0
3400,,
3500,,1363.0
3600,0.5,825.0
3700,0.4444444444444444,1843.0
3800,0.3333333333333333,1996.0
3900,0.3076923076923077,1843.0
4000,,
4100,,1996.0
4200,0.35294117647058826,1132.0
4300,0.25,1996.0
4400,0.3,1843.0
4500,0.3076923076923077,1747.0
4600,0.36363636363636365,1996.0
4700,0.16666666666666666,1843.0
4800,0.2222222222222222,1996.0
4900,,
5000,,1843.0
5100,0.16666666666666666,1996.0
5200,0.09090909090909091,1996.0
5300,0.16666666666666666,1843.0
5400,0.1,1747.0
5500,0.18181818181818182,1996.0
5600,0.1111111111111111,1747.0
5700,,
5800,,1747.0
5900,0.14285714285714285,979.0
6000,0.18181818181818182,979.0
6100,,
6200,,1996.0
6300,0.25,1996.0
6400,0.09090909090909091,1996.0
6500,0.0,1536.0
6600,,
6700,,1747.0
6800,0.08333333333333333,1363.0
6900,0.3,1843.0
7000,0.2727272727272727,1536.0
7100,0.0,1363.0
7200,0.09090909090909091,825.0
7300,0.18181818181818182,1132.0
7400,0.1111111111111111,1996.0
7500,0.25,1996.0
7600,0.18181818181818182,1996.0
7700,0.0,1536.0
7800,,
7900,,979.0
8000,0.23076923076923078,1363.0
