time,w
02:29:53:368219,1.27472
02:29:53:637687,1.4355
02:29:53:916233,1.4355
02:29:54:179502,1.4355
02:29:54:449669,1.4355
02:29:54:721828,1.13316
02:29:54:998211,1.13316
02:29:55:268278,0.6886200000000001
02:29:55:528326,0.6886200000000001
02:29:55:829118,0.50898
02:29:56:082893,0.50898
02:29:56:351929,0.51896
02:29:56:613224,0.51896
02:29:56:885740,0.47405
02:29:57:180485,0.47405
02:29:57:429558,0.48403
02:29:57:693996,0.48403
02:29:57:970661,0.88146
02:29:58:303885,0.88146
02:29:58:520363,0.49401000000000006
02:29:58:792095,0.49401000000000006
02:29:59:049391,0.56886
02:29:59:330720,0.56886
02:29:59:590778,0.48403
02:29:59:871620,0.48403
02:30:00:148151,0.6972000000000002
02:30:00:407586,0.6972000000000002
02:30:00:688849,0.76692
02:30:00:957384,0.76692
02:30:01:233109,0.60379
02:30:01:500221,0.60379
