,time[ms],pmodel
0,0,1.4098354382931095
1,100,1.4098354382931095
2,200,1.3428493869711824
3,300,1.2350090223776502
4,400,0.9575294908056883
5,500,0.8460438861579612
6,600,0.8582236187438931
7,700,0.9131898186027305
8,800,1.2480857301068378
9,900,1.222032857003326
10,1000,1.0255768947400932
11,1100,1.1421071583519038
12,1200,1.2488800094191452
13,1300,1.1796184935640066
14,1400,1.0372151129870337
15,1500,1.204654622571852
16,1600,1.1926330179250133
17,1700,1.2473755558063386
18,1800,1.478973138927385
19,1900,1.4304885211033551
20,2000,1.3414867869318559
21,2100,1.4497666075985225
22,2200,1.2233501494980064
23,2300,1.4509028945821054
24,2400,1.19903207516694
25,2500,1.1280867641604426
26,2600,0.9402467527679713
27,2700,0.9603610308153531
28,2800,1.0374248923199914
29,2900,1.2670266174952882
30,3000,1.1175558642655976
31,3100,1.0654666413550862
32,3200,1.070407931595481
33,3300,1.202632783401064
34,3400,1.2062867751203719
35,3500,0.8541964247518619
36,3600,0.7477710112248022
37,3700,0.5707843363223999
38,3800,0.9001372219999695
39,3900,1.0140697749197694
40,4000,1.070857749841402
41,4100,1.0435532745869884
42,4200,1.0905789186619579
43,4300,1.2351400364192036
44,4400,1.048974355594948
45,4500,1.1682849290997845
46,4600,1.0470308058900448
47,4700,1.053092807350553
48,4800,1.0440102190700138
49,4900,1.1618936635541548
50,5000,1.0580531045687644
51,5100,1.2312778658380124
52,5200,1.1838023816662164
53,5300,0.965159243114848
54,5400,1.0535787541626314
55,5500,1.0004773225394161
56,5600,1.2040329112669723
57,5700,1.1189248059449355
58,5800,1.3431580846282385
59,5900,1.2618305451266978
60,6000,1.2395954231776596
61,6100,0.8209386094963596
62,6200,1.0684258105361812
63,6300,1.2421964847008322
64,6400,1.128706774613594
65,6500,1.191006193619505
66,6600,1.231333616589827
67,6700,0.9666198018366096
68,6800,0.8362969545409777
69,6900,0.7408971869787844
70,7000,1.0789814013600663
71,7100,0.7726686340594406
72,7200,0.8735366131795874
73,7300,1.0767945969871726
74,7400,0.9725093831565658
75,7500,1.0294740262568545
76,7600,0.9064816566579589
77,7700,0.9563418047342104
78,7800,0.9277180254269803
79,7900,0.9403476899017096
80,8000,
