,time[ms],pmodel
0,0,1.2742797365505227
1,100,1.2742797365505227
2,200,1.0908617307295567
3,300,0.9938458662840998
4,400,1.166158408286765
5,500,1.4647178602672075
6,600,1.24682782236661
7,700,1.260237211862501
8,800,1.0700764097284012
9,900,1.289851832579545
10,1000,1.2584288122555307
11,1100,1.2401422777349373
12,1200,0.9172388711483216
13,1300,0.8638697883162316
14,1400,0.9257838988155032
15,1500,1.0826260705819175
16,1600,1.193265126827166
17,1700,1.2622239185785742
18,1800,1.1486048454327165
19,1900,1.1876100328808277
20,2000,0.8062571122272727
21,2100,0.8778747387744252
22,2200,0.855983038662296
23,2300,0.9461610016796449
24,2400,0.8181135455555557
25,2500,0.9971616503708131
26,2600,0.9322988609978148
27,2700,1.0413110940971477
28,2800,1.1666954386966366
29,2900,0.9697732714467339
30,3000,1.183549376457265
31,3100,1.1127507057299955
32,3200,1.0115748495008425
33,3300,0.8452947241211728
34,3400,0.7286736317745397
35,3500,0.672050313972174
36,3600,1.0349514644758924
37,3700,1.1300834812457916
38,3800,1.1212174602344498
39,3900,1.2056935998198655
40,4000,1.0348836198537756
41,4100,1.1393379163589086
42,4200,1.0339910504581464
43,4300,1.1635888601183262
44,4400,1.0116199794030045
45,4500,1.0092441326287318
46,4600,0.876275703394106
47,4700,1.2849429695168046
48,4800,0.8645210779398235
49,4900,0.9196307408131877
50,5000,1.1100723612564103
51,5100,1.1254623294141841
52,5200,1.1566608614104479
53,5300,1.1064662622953518
54,5400,1.1288126422137892
55,5500,1.0547560421837603
56,5600,1.056421282731713
57,5700,1.0909790149821443
58,5800,1.1618512071065745
59,5900,1.3610248492910135
60,6000,1.3597442962462156
61,6100,1.0982704484621215
62,6200,1.1160030652885378
63,6300,1.0987691501000758
64,6400,1.0864633731927626
65,6500,0.9159599965554035
66,6600,0.8674868427862639
67,6700,0.8730472750466031
68,6800,1.003870062686647
69,6900,1.0618231755013494
70,7000,1.0444292499348293
71,7100,0.8646564354405594
72,7200,1.1712840856870161
73,7300,1.1967615220985683
74,7400,0.9505393516225668
75,7500,0.958382780249681
76,7600,0.7113007591422249
77,7700,0.5542452812024292
78,7800,
79,7900,
80,8000,
