time,w
19:27:16:309294,1.6731000000000003
19:27:16:642847,1.6764800000000002
19:27:16:858674,1.6764800000000002
19:27:17:132522,1.6764800000000002
19:27:17:399636,1.6764800000000002
19:27:17:717352,1.6467200000000002
19:27:17:942265,1.6467200000000002
19:27:18:201331,1.50288
19:27:18:486950,1.50288
19:27:18:792166,1.4114799999999998
19:27:19:014682,1.4114799999999998
19:27:19:296077,1.47312
19:27:19:572808,1.47312
19:27:19:827168,1.39657
19:27:20:109327,1.39657
19:27:20:375242,1.58224
19:27:20:678767,1.58224
19:27:20:910658,1.4929599999999998
19:27:21:193110,1.4929599999999998
19:27:21:461483,1.39657
19:27:21:779462,1.39657
19:27:21:994403,1.44336
19:27:22:268489,1.44336
19:27:22:548883,1.4015399999999998
19:27:22:865420,1.4015399999999998
19:27:23:092671,1.51776
19:27:23:354736,1.51776
19:27:23:632352,1.44336
19:27:23:946866,1.44336
19:27:24:159699,1.4483199999999998
