,sitename,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000
pmodel,amazon,1.6174716611073126,1.6174716611073126,1.3882922343211104,1.0304245065477629,1.235486042095376,1.1792428086555349,1.3578353857418075,1.5253394128935316,1.461011192500135,1.521596926666891,1.4262269304848618,1.278953083107226,1.4363027834597901,1.4506319372738927,1.5615541568670577,1.5704094175099153,1.5081816123265177,1.2020111979602088,1.1250652114646464,1.3609365472784651,1.438176688483202,1.4286638891751666,1.3143055617299608,1.128672563731265,1.168815217845895,1.2436481548198404,0.934539126880342,1.3804808957885155,1.2357939039090908,1.1706146487209597,0.9695360351663036,0.9847877701937644,1.025630778640468,1.0783854216129676,1.1118266489168294,1.0229634216223014,1.13704632021916,1.1370967324478083,1.191132679175844,1.2310427125768748,0.9872196834858809,1.0225872850631317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.4650140779256715,1.4650140779256715,1.324131857629791,1.2754113982480333,1.4447575859806094,1.5421153183929208,1.4147152626353932,1.4774014714600603,1.4588960773458741,1.3787127044660896,1.3823915502003996,1.4919513994855935,1.330977776485326,1.404736086047572,1.3183370210485004,1.1209154565992179,1.3398878600220778,1.1645993719316707,1.1586491836939061,0.8492701780807308,1.3637044943162897,1.4647653291645242,1.235180646416667,1.1323878059049528,1.1821999768901517,1.293312746176236,1.3817148804789825,1.326789685446481,1.2221347829185607,1.2165975246392802,1.135855924402938,1.1882783266110142,1.138483108081024,1.0836735604444443,1.200918448137675,1.1689644278030302,0.9157805310783164,1.3168046474062267,1.1176840383804099,1.0003097679454562,1.1055754840929906,1.0883433278591736,1.19377438368254,1.1968192542121212,1.191371869765513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.5943254868470382,1.5943254868470382,1.2579332251237374,1.0998266036913766,1.2464677957181671,1.418057684850897,1.362204999860305,1.3587651094495363,1.31081753020313,1.3739521114253437,1.02491695612013,1.2863702020977632,1.2064670508758817,1.1813546769722514,1.0937833030032431,1.2454391311942046,1.387604671853598,1.3299701832173714,1.3106315605291001,1.3545508742784738,1.34736776160626,1.3560461182849166,1.4302742644545456,1.2459827164431818,1.2608040326333332,1.1339831842996766,1.3692052181490793,1.3377572848479562,1.2205145648847129,1.2106079303117716,1.0557683553157893,0.8800902162522831,0.9414236336842724,0.7688867740037879,1.0055900818552632,1.153198761280303,1.0183791742602124,1.2219783226028262,0.971573414388232,1.1714276542228634,1.0159603191777484,1.1254588594846973,1.158940275620445,1.0059076591165501,1.1025375953146934,1.2028792229498833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.3723094599121173,1.3723094599121173,1.4131370043706837,1.3789124858096755,1.2801678318872831,1.3049732509641236,1.4253959996236216,1.2537903123905596,1.3021505465522067,1.3282169089889655,1.3683362206535508,1.2809677624486742,1.4497191666182625,1.4563244113286715,1.315033896578615,1.3484901463165313,1.3448551267058737,1.4125162730586085,1.5648865146395572,1.3797474466363635,1.510761527103262,1.310038813731352,1.4297717322722017,1.1673200668738866,0.91392101655535,0.9840074821398602,1.1131820275471471,1.2019016952278159,1.4709055990200517,1.2152380168900687,1.245458872139717,1.1619223172513595,0.9801063053005524,0.9956696792383922,1.0887999965523147,0.971622073193094,1.0561988266989353,1.09262561465001,1.200333234687074,1.172354477861162,1.1356286501170647,1.0856654750874128,1.1227326617552444,1.2516459035019096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.494880388696347,1.494880388696347,1.3831657112077558,1.4867081242365972,1.3762363396428094,1.4608306929155843,1.4567552659508975,1.4416469190692638,1.4732895125494507,1.4312344194540931,1.4409589428374194,1.561823532147436,1.4734185995211988,1.4581071693800505,1.4406460359444444,1.1267329062527995,1.2246061850282235,1.1325811099684344,1.2978901263813802,1.1857729390983045,1.2241154743001252,0.9865281821460272,1.1733260523361493,1.2152363167789009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.340675904332469,1.340675904332469,1.3154016769157817,1.09753370723715,1.003615275192376,1.219797612534339,1.020588773605953,1.3718654580387808,1.2788881436658155,1.4643411642472943,1.5335740418070265,1.3683945135457671,1.2827862203432343,1.5667271156220255,1.6223037082420362,1.5631677680733254,1.13602273683825,1.1730949574104272,1.1016700952093792,1.3556167162358732,1.4285454203073795,1.3981273684050763,1.3790679623097644,1.1916263758420746,1.3459829022280498,1.129663240944056,1.1811574199454546,1.1797616498973311,1.0352743300558438,1.5174389074475108,1.0833410980114675,1.065185596327507,1.0419124223900362,1.112087310518889,0.9689118686881832,1.2289986688443375,1.0347360144225868,1.1501850980589865,1.1916541939420917,1.119215023948274,1.0817496273277976,1.1583922126416732,1.0453267442793832,1.002385320551313,0.9614485054214718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.4332538611226269,1.4332538611226269,1.3204246119358791,1.1293374666676008,1.3160140824787474,1.2623018517504634,1.2426395887261903,1.2105293763474023,1.2420861623963009,1.2106928983077414,1.2292491944155843,1.4644774122384536,1.4168150025403905,1.3319668226576846,1.2671786346577574,1.315980337798143,1.0840326713872632,1.1765483733146982,1.1730512437873055,1.2197071668433908,1.318303943910586,1.0857620954364244,1.0016285750359435,0.9493944156568916,1.181229968607278,1.0995629167808856,1.1814799602380952,1.3121369244488394,1.2219270268375926,1.190270172950023,1.2507218894160923,1.135731180909188,1.2100216091259508,1.0967909659562172,1.135394040120444,1.175092405213089,0.8910735264749114,0.8883627165767818,0.9471340570059672,0.988601486875,1.1294535706612256,1.0249278784389362,1.331938056308017,1.272576910241379,1.2913900574924244,1.171549852037869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.4490974426387493,1.4490974426387493,1.2551864809468505,1.1933423522714612,1.0774336118286896,0.9919927532262444,1.4207774790874814,1.4440429044636445,1.3811683430764723,1.3061913278533224,1.4059235063890032,1.3409839801035477,1.365366178009324,1.230016531001823,1.2421550165288338,1.1815988400078763,1.2407655491985992,1.3633456051558157,1.4452765326650665,1.4093420672295456,1.2978528891834462,1.2245090699285297,1.3695826522191372,1.2255914069008922,1.1530245448189589,1.1156869536310907,1.2580831030820412,1.1821664616192122,1.2401128430228794,1.0178442110228794,1.0661114953085935,1.130932756640095,1.1816292342567405,1.1823412755389069,1.2118092677872228,1.1719884703774084,1.0573131822182544,1.1253799051699027,1.1415716015800412,1.0782074386083915,0.996836566400782,1.0329262167489641,1.137360171119774,1.1325531117997911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.4475102566794873,1.4475102566794873,1.2121043702561272,1.2396335738379958,1.0881182937781664,1.2562476185371034,1.1475358042989137,1.0220833899276882,0.5974585945285129,0.5974585945285129,0.5974585945285129,1.0413225820674472,1.4731848689368623,1.3650432647312272,1.4212405918082611,1.4864167207582497,1.5381626364854584,1.4507365578650069,1.3704193476581603,1.4370562850737068,1.1603612557790959,1.2972385294114646,1.1396765612147743,1.117746139306309,1.1179197673973476,1.1501667996518483,1.1511505934742383,1.0284899895945854,1.3331441765757577,1.2023883437989764,1.2244840289747474,1.020397810621795,1.0312523442780959,1.1107866011533836,1.1521400613787875,1.1650622572004659,1.1334420953424242,1.2553790697941496,0.9774006010094696,1.1869304756897543,1.1973594294012115,1.1773790935497002,0.9232412223033614,1.1178224742814944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmodel,amazon,1.45808520940522,1.45808520940522,1.3993426216932394,1.392678233533538,1.1821295246928507,1.2260852083968254,1.4555303719363557,1.4910336611887691,1.4992394705128236,1.3851283216045704,1.2871293805476105,1.2818616470999622,1.40805305609231,1.4099916594312685,1.2939285357287242,1.1430523614116508,1.0666767018117258,1.0559411001978023,0.9630798740501166,1.4174691223897598,1.3916845029726734,1.1201586235539698,1.385940653139189,1.0687814289311492,1.0816957379749774,1.0029922492016516,1.0029922492016516,1.0029922492016516,1.0029922492016516,1.0029922492016516,1.0288236207972958,1.0544531686109293,1.2170616724336352,0.9921050805674612,1.2193628130933465,1.0960425077340057,1.140355408165425,1.0486067524471618,1.0926163859242424,0.6771424932316701,0.6781623382312666,0.624860291276721,1.110845196114083,0.9874718633875004,1.18540096683414,1.2184654209666417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
