time,w
00:50:27:530759,1.6715200000000001
00:50:27:797795,1.6715200000000001
00:50:28:071958,1.57728
00:50:28:330627,1.57728
00:50:28:609506,1.10556
00:50:28:885615,1.10556
00:50:29:156978,1.0258800000000001
00:50:29:416858,1.0258800000000001
00:50:29:694144,1.60208
00:50:29:969667,1.60208
00:50:30:241003,1.6764800000000002
00:50:30:514840,1.6764800000000002
00:50:30:800935,1.62688
00:50:31:044684,1.62688
00:50:31:327694,1.30214
00:50:31:594493,1.30214
00:50:31:904487,0.9860400000000001
00:50:32:136925,0.9860400000000001
00:50:32:410583,1.29717
00:50:32:677574,1.29717
00:50:32:955603,0.9013800000000001
00:50:33:214422,0.9013800000000001
00:50:33:498400,0.81337
00:50:33:757074,0.81337
00:50:34:034182,0.76846
00:50:34:307100,0.76846
00:50:34:569992,0.7734500000000001
00:50:34:848409,0.7734500000000001
00:50:35:119393,1.2077099999999998
00:50:35:393683,1.2077099999999998
