time,user,nice,system,idle,iowait,irq,softirq,steal
1900-01-01 15:59:41.200,47491.666666666664,38993.0,47023.333333333336,293897.6666666667,2918.0,5507.666666666667,2356.0,0.0
1900-01-01 15:59:41.300,47511.333333333336,38993.0,47043.666666666664,293941.3333333333,2918.0,5509.333333333333,2356.0,0.0
1900-01-01 15:59:41.400,47527.0,38993.0,47062.0,293977.5,2918.0,5510.5,2356.0,0.0
1900-01-01 15:59:41.500,47543.666666666664,38993.0,47079.666666666664,294011.0,2918.0,5511.0,2356.0,0.0
1900-01-01 15:59:41.600,47564.333333333336,38993.0,47098.666666666664,294053.0,2918.0,5512.0,2356.0,0.0
1900-01-01 15:59:41.700,47582.666666666664,38993.0,47120.666666666664,294095.3333333333,2918.0,5513.333333333333,2357.0,0.0
1900-01-01 15:59:41.800,47603.666666666664,38993.0,47140.333333333336,294141.3333333333,2918.0,5514.666666666667,2357.0,0.0
1900-01-01 15:59:41.900,47621.0,38993.0,47156.0,294175.5,2918.0,5515.5,2357.0,0.0
1900-01-01 15:59:42.000,47637.666666666664,38993.0,47176.0,294210.3333333333,2918.0,5516.666666666667,2357.0,0.0
1900-01-01 15:59:42.100,47653.0,38993.0,47193.5,294249.0,2918.0,5517.5,2357.5,0.0
1900-01-01 15:59:42.200,47672.0,38993.0,47217.333333333336,294294.0,2918.0,5519.0,2358.3333333333335,0.0
1900-01-01 15:59:42.300,47687.5,38993.0,47238.0,294340.0,2918.0,5520.0,2359.0,0.0
1900-01-01 15:59:42.400,47703.333333333336,38993.0,47254.333333333336,294376.6666666667,2918.0,5520.666666666667,2359.0,0.0
1900-01-01 15:59:42.500,47720.666666666664,38993.0,47278.666666666664,294422.0,2918.0,5522.333333333333,2359.0,0.0
1900-01-01 15:59:42.600,47736.0,38993.0,47297.5,294463.0,2918.0,5523.0,2359.5,0.0
1900-01-01 15:59:42.700,47753.0,38993.0,47318.666666666664,294500.0,2918.0,5524.666666666667,2360.0,0.0
1900-01-01 15:59:42.800,47770.5,38993.0,47337.0,294545.5,2919.0,5525.0,2360.0,0.0
1900-01-01 15:59:42.900,47788.0,38993.0,47353.666666666664,294583.0,2919.0,5526.0,2360.0,0.0
1900-01-01 15:59:43.000,47808.666666666664,38993.0,47374.666666666664,294628.0,2919.0,5528.0,2360.0,0.0
1900-01-01 15:59:43.100,47825.0,38993.0,47391.0,294663.0,2919.0,5528.0,2360.5,0.0
1900-01-01 15:59:43.200,47840.333333333336,38993.0,47412.666666666664,294700.6666666667,2919.0,5529.333333333333,2361.0,0.0
1900-01-01 15:59:43.300,47858.666666666664,38993.0,47437.333333333336,294748.0,2919.0,5531.0,2361.0,0.0
1900-01-01 15:59:43.400,47872.5,38993.0,47457.0,294785.0,2920.0,5531.5,2361.0,0.0
1900-01-01 15:59:43.500,47887.333333333336,38993.0,47474.333333333336,294820.0,2920.0,5532.333333333333,2361.6666666666665,0.0
1900-01-01 15:59:43.600,47907.333333333336,38993.0,47493.666666666664,294861.0,2920.0,5533.666666666667,2362.0,0.0
1900-01-01 15:59:43.700,47923.5,38993.0,47512.0,294901.5,2920.0,5535.0,2362.0,0.0
1900-01-01 15:59:43.800,47942.333333333336,38993.0,47529.333333333336,294940.3333333333,2920.0,5535.666666666667,2362.6666666666665,0.0
1900-01-01 15:59:43.900,47961.666666666664,38993.0,47551.0,294984.3333333333,2920.0,5536.666666666667,2363.0,0.0
1900-01-01 15:59:44.000,47981.0,38993.0,47571.0,295027.0,2920.3333333333335,5537.333333333333,2363.0,0.0
1900-01-01 15:59:44.100,47997.0,38993.0,47589.0,295072.5,2921.0,5539.0,2363.0,0.0
1900-01-01 15:59:44.200,48013.666666666664,38993.0,47607.666666666664,295112.3333333333,2921.0,5540.333333333333,2364.0,0.0
1900-01-01 15:59:44.300,48031.0,38993.0,47626.0,295156.0,2921.0,5541.0,2364.0,0.0
1900-01-01 15:59:44.400,48047.0,38993.0,47642.666666666664,295192.0,2921.0,5541.666666666667,2364.3333333333335,0.0
1900-01-01 15:59:44.500,48057.0,38993.0,47658.0,295228.0,2921.0,5543.0,2365.0,0.0
