time[ms],user,nice,system,idle,iowait,irq,softirq,steal
0,,,,,,,,
100,2.66666666666697,0.0,1.6666666666669698,4.0,0.0,0.0,0.0,0.0
200,1.8333333333330302,0.0,3.83333333333303,4.0,0.0,0.0,0.0,0.0
300,2.16666666666697,0.0,1.1666666666669698,5.666666666664241,0.0,0.0,0.0,0.0
400,3.33333333333303,0.0,2.83333333333303,3.8333333333357587,0.0,0.0,0.0,0.0
500,3.33333333333303,0.0,2.5,3.5,0.0,0.0,0.0,0.0
600,3.66666666666697,0.0,4.0,2.0,0.0,0.0,0.0,0.0
700,3.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0
800,4.0,0.0,2.83333333333303,4.666666666664241,0.0,0.0,0.0,0.0
900,2.33333333333303,0.0,2.66666666666697,5.333333333335759,0.0,0.6666666666666288,0.0,0.0
1000,1.6666666666669698,0.0,2.0,5.0,0.0,0.33333333333337123,0.0,0.0
1100,2.0,0.0,2.33333333333303,5.333333333335759,0.0,0.0,0.0,0.0
1200,2.5,0.0,1.6666666666669698,5.666666666664241,0.0,0.0,0.0,0.0
1300,1.5,0.0,1.5,4.0,0.0,0.0,0.0,0.0
1400,1.0,0.0,2.16666666666697,6.333333333335759,0.0,0.0,0.0,0.0
1500,1.6666666666669698,0.0,3.33333333333303,5.333333333328483,0.0,0.0,0.0,0.0
1600,1.8333333333330302,0.0,2.0,4.333333333335759,0.0,0.0,0.0,0.0
1700,4.16666666666697,0.0,2.33333333333303,3.3333333333357587,0.0,0.0,0.0,0.0
1800,4.0,0.0,5.0,1.6666666666642413,0.0,0.0,0.0,0.0
1900,3.83333333333303,0.0,3.66666666666697,2.5,0.0,0.0,0.0,0.0
2000,2.5,0.0,1.3333333333330302,6.166666666664241,0.0,1.0,0.6666666666666856,0.0
2100,2.0,0.0,5.0,3.3333333333357587,0.0,0.0,0.3333333333333144,0.0
2200,3.0,0.0,3.66666666666697,2.5,0.0,0.0,0.0,0.0
2300,1.3333333333330302,0.0,2.33333333333303,5.5,0.0,0.0,0.0,0.0
2400,2.66666666666697,0.0,3.3333333333339397,4.0,0.0,0.0,0.0,0.0
2500,3.0,0.0,3.0,5.333333333335759,0.0,0.0,0.0,0.0
2600,2.0,0.0,1.6666666666660603,6.333333333328483,0.0,0.0,0.0,0.0
2700,2.33333333333303,0.0,2.66666666666697,4.0,0.0,0.0,0.0,0.0
2800,2.16666666666697,0.0,1.0,5.333333333335759,0.0,0.0,0.0,0.0
2900,2.83333333333303,0.0,3.0,3.6666666666642413,0.0,0.0,0.0,0.0
3000,3.66666666666697,0.0,2.33333333333303,3.6666666666715173,0.0,0.0,0.0,0.0
3100,3.33333333333303,0.0,4.0,3.3333333333284827,0.0,1.0,0.0,0.0
3200,2.66666666666697,0.0,3.66666666666697,2.3333333333357587,0.0,0.0,0.0,0.0
3300,3.0,0.0,2.33333333333303,3.6666666666642413,0.3333333333333144,0.0,0.0,0.0
3400,3.0,0.0,2.16666666666697,5.833333333335759,0.6666666666666856,0.0,0.0,0.0
3500,1.0,0.0,2.16666666666697,5.166666666664241,0.0,0.0,0.0,0.0
3600,2.0,0.0,2.33333333333303,6.666666666671517,0.0,0.0,0.0,0.0
3700,2.0,0.0,3.5,3.6666666666642413,0.0,0.0,0.0,0.0
3800,2.66666666666697,0.0,2.83333333333303,4.0,0.0,0.0,0.0,0.0
3900,1.3333333333330302,0.0,2.16666666666697,5.5,0.0,0.0,0.0,0.0
4000,3.33333333333303,0.0,2.83333333333303,2.8333333333357587,0.0,0.0,0.0,0.0
4100,3.0,0.0,3.66666666666697,4.666666666664241,0.0,0.0,0.0,0.0
4200,4.16666666666697,0.0,2.5,3.5,0.0,1.0,0.0,0.0
