time[ms],user,nice,system,idle,iowait,irq,softirq,steal
4300,3.16666666666697,0.0,1.5,3.1666666666642413,0.0,0.0,0.0,0.0
4400,2.33333333333303,0.0,3.0,5.333333333335759,0.0,0.0,0.0,0.0
4500,2.5,0.0,2.5,3.5,0.0,0.0,0.0,0.0
4600,1.5,0.0,1.8333333333330302,4.833333333335759,0.0,0.0,0.6666666666666856,0.0
4700,4.0,0.0,3.3333333333339397,3.3333333333284827,0.0,0.0,0.3333333333333144,0.0
4800,3.5,0.0,3.83333333333303,2.8333333333357587,0.0,0.0,0.0,0.0
4900,1.8333333333330302,0.0,1.5,5.166666666664241,0.0,0.0,0.0,0.0
5000,2.3333333333339397,0.0,4.33333333333303,4.333333333335759,0.0,0.0,0.0,0.0
5100,1.3333333333330302,0.0,3.16666666666697,5.0,0.0,0.0,0.0,0.0
5200,3.0,0.0,2.5,4.333333333335759,0.0,0.33333333333337123,0.0,0.0
5300,4.33333333333303,0.0,3.0,4.0,0.0,0.6666666666666288,0.0,0.0
5400,3.66666666666697,0.0,2.0,3.1666666666642413,0.0,0.0,0.0,0.0
5500,1.6666666666669698,0.0,3.0,3.8333333333357587,0.0,0.0,0.0,0.0
5600,2.0,0.0,2.66666666666697,6.0,0.0,0.0,0.0,0.0
5700,1.8333333333330302,0.0,2.33333333333303,6.166666666664241,0.0,0.0,0.0,0.0
5800,1.5,0.0,2.0,4.0,0.0,0.0,0.0,0.0
5900,2.33333333333303,0.0,2.33333333333303,4.833333333335759,0.0,0.0,0.0,0.0
6000,1.3333333333339397,0.0,2.3333333333339397,7.666666666664241,0.0,0.0,0.0,0.0
6100,1.8333333333330302,0.0,2.33333333333303,6.0,0.0,0.0,0.0,0.0
6200,2.16666666666697,0.0,3.0,5.666666666664241,0.0,0.0,0.0,0.0
6300,2.33333333333303,0.0,2.5,5.333333333335759,0.0,0.0,0.0,0.0
6400,1.6666666666669698,0.0,1.8333333333330302,5.666666666664241,0.0,1.0,0.0,0.0
6500,2.33333333333303,0.0,2.66666666666697,5.666666666671517,0.0,0.0,0.0,0.0
6600,1.5,0.0,2.5,4.166666666664241,0.0,0.0,0.0,0.0
6700,1.8333333333330302,0.0,3.5,3.8333333333357587,0.0,0.0,0.0,0.0
6800,2.66666666666697,0.0,3.66666666666697,4.333333333328483,0.0,0.0,0.0,0.0
6900,3.0,0.0,2.6666666666660603,4.666666666671517,0.0,0.0,0.0,0.0
7000,3.5,0.0,1.1666666666669698,3.6666666666642413,0.0,0.0,0.0,0.0
7100,1.5,0.0,3.16666666666697,4.666666666664241,0.0,0.0,0.0,0.0
7200,3.66666666666697,0.0,3.0,3.6666666666715173,0.0,0.0,0.0,0.0
7300,2.83333333333303,0.0,3.33333333333303,3.6666666666642413,0.0,0.0,0.0,0.0
7400,3.16666666666697,0.0,3.66666666666697,3.3333333333357587,0.0,0.33333333333337123,0.0,0.0
7500,2.33333333333303,0.0,1.8333333333330302,5.166666666664241,0.0,0.6666666666666288,0.0,0.0
7600,1.3333333333330302,0.0,2.83333333333303,4.833333333335759,0.0,0.0,1.0,0.0
7700,1.6666666666669698,0.0,1.1666666666669698,6.666666666664241,0.0,0.0,0.0,0.0
7800,2.33333333333303,0.0,2.16666666666697,4.666666666664241,0.0,0.0,0.0,0.0
7900,1.6666666666669698,0.0,1.3333333333330302,5.333333333335759,0.0,0.0,0.0,0.0
