user,nice,system,idle,iowait,irq,softirq,steal,time
696585,14029,614353,277743654,8858,43,20814,0,16:41:26:753669
696586,14029,614354,277743657,8858,43,20814,0,16:41:26:772768
696587,14029,614357,277743658,8858,43,20814,0,16:41:26:785298
696588,14029,614357,277743662,8858,43,20814,0,16:41:26:803477
696588,14029,614359,277743666,8858,43,20814,0,16:41:26:819536
696588,14029,614363,277743668,8858,43,20814,0,16:41:26:836397
696588,14029,614365,277743671,8858,43,20814,0,16:41:26:853837
696589,14029,614366,277743674,8858,43,20814,0,16:41:26:870704
696589,14029,614369,277743678,8858,43,20814,0,16:41:26:892245
696591,14029,614371,277743679,8858,43,20814,0,16:41:26:907831
696592,14029,614372,277743682,8858,43,20814,0,16:41:26:923349
696593,14029,614373,277743684,8858,43,20814,0,16:41:26:941502
696595,14029,614375,277743688,8858,43,20814,0,16:41:26:960086
696597,14029,614378,277743691,8858,43,20814,0,16:41:26:976934
696599,14029,614380,277743693,8858,43,20814,0,16:41:26:993653
696600,14029,614381,277743696,8858,43,20814,0,16:41:27:013388
696601,14029,614386,277743700,8858,43,20814,0,16:41:27:030499
696601,14029,614388,277743702,8858,43,20814,0,16:41:27:046941
696602,14029,614388,277743704,8858,43,20814,0,16:41:27:063446
696603,14029,614392,277743708,8858,43,20814,0,16:41:27:081509
696603,14029,614393,277743711,8858,43,20814,0,16:41:27:102957
696603,14029,614398,277743713,8858,43,20814,0,16:41:27:121534
696605,14029,614400,277743717,8858,43,20814,0,16:41:27:138636
696607,14029,614401,277743721,8858,43,20814,0,16:41:27:156598
696609,14029,614405,277743722,8858,43,20814,0,16:41:27:177093
696610,14029,614408,277743726,8858,43,20814,0,16:41:27:196222
696611,14029,614410,277743729,8858,43,20814,0,16:41:27:211842
696611,14029,614414,277743732,8858,43,20814,0,16:41:27:230223
696611,14029,614421,277743733,8858,43,20814,0,16:41:27:244020
696612,14029,614424,277743737,8858,43,20814,0,16:41:27:261724
696613,14029,614425,277743740,8858,43,20814,0,16:41:27:284228
696614,14029,614426,277743742,8858,43,20814,0,16:41:27:303933
696615,14029,614426,277743746,8858,43,20814,0,16:41:27:325533
696616,14029,614429,277743748,8858,43,20814,0,16:41:27:338912
696616,14029,614434,277743752,8858,43,20814,0,16:41:27:360189
696616,14029,614437,277743755,8858,43,20814,0,16:41:27:385587
696619,14029,614440,277743760,8858,43,20814,0,16:41:27:406097
696619,14029,614445,277743762,8858,43,20814,0,16:41:27:425115
696620,14029,614449,277743765,8858,43,20814,0,16:41:27:448232
696620,14029,614452,277743769,8858,43,20814,0,16:41:27:467665
696621,14029,614455,277743773,8858,43,20814,0,16:41:27:482171
696621,14029,614457,277743774,8858,43,20814,0,16:41:27:498039
696621,14029,614459,277743777,8858,43,20814,0,16:41:27:515794
696621,14029,614461,277743780,8858,43,20814,0,16:41:27:530826
696621,14029,614465,277743783,8858,43,20814,0,16:41:27:558898
696622,14029,614468,277743787,8858,43,20814,0,16:41:27:575375
696624,14029,614473,277743790,8858,43,20814,0,16:41:27:593436
696624,14029,614473,277743792,8858,43,20814,0,16:41:27:608392
696625,14029,614476,277743796,8858,43,20814,0,16:41:27:630154
696626,14029,614479,277743799,8858,43,20814,0,16:41:27:642244
696627,14029,614481,277743802,8858,43,20814,0,16:41:27:659153
696629,14029,614484,277743806,8858,43,20814,0,16:41:27:678861
696629,14029,614487,277743809,8858,43,20814,0,16:41:27:697853
696631,14029,614491,277743811,8858,43,20814,0,16:41:27:717515
696632,14029,614492,277743815,8858,43,20814,0,16:41:27:733734
696632,14029,614494,277743817,8858,43,20814,0,16:41:27:751005
696632,14029,614496,277743819,8858,43,20814,0,16:41:27:767622
696632,14029,614500,277743823,8858,43,20814,0,16:41:27:786906
696632,14029,614505,277743826,8858,43,20814,0,16:41:27:808540
696633,14029,614509,277743829,8858,43,20815,0,16:41:27:824464
696633,14029,614511,277743831,8858,43,20815,0,16:41:27:842103
696634,14029,614514,277743835,8858,43,20815,0,16:41:27:858777
696635,14029,614518,277743836,8858,43,20815,0,16:41:27:874595
696636,14029,614523,277743839,8858,43,20815,0,16:41:27:896737
696637,14029,614524,277743843,8858,43,20815,0,16:41:27:919193
696638,14029,614526,277743847,8858,43,20816,0,16:41:27:935383
696639,14029,614527,277743850,8858,43,20816,0,16:41:27:952147
696640,14029,614527,277743852,8858,43,20816,0,16:41:27:970231
696641,14029,614528,277743856,8858,43,20816,0,16:41:27:986063
696642,14029,614532,277743858,8858,43,20816,0,16:41:28:001759
696643,14029,614533,277743861,8858,43,20816,0,16:41:28:019700
696643,14029,614535,277743862,8858,43,20816,0,16:41:28:036652
696643,14029,614538,277743866,8858,43,20816,0,16:41:28:061845
696643,14029,614541,277743871,8858,43,20816,0,16:41:28:078035
696644,14029,614543,277743873,8858,43,20816,0,16:41:28:093986
696644,14029,614543,277743875,8858,43,20816,0,16:41:28:111779
696645,14029,614547,277743881,8858,43,20816,0,16:41:28:132788
696646,14029,614547,277743885,8858,43,20816,0,16:41:28:151323
696647,14029,614549,277743888,8858,43,20816,0,16:41:28:169528
696647,14029,614553,277743892,8858,43,20816,0,16:41:28:196448
696647,14029,614558,277743896,8858,43,20816,0,16:41:28:212150
696648,14029,614559,277743898,8858,43,20816,0,16:41:28:227882
696648,14029,614562,277743900,8858,43,20816,0,16:41:28:243813
696649,14029,614564,277743904,8858,43,20816,0,16:41:28:265555
696650,14029,614567,277743908,8858,43,20816,0,16:41:28:278792
696650,14029,614569,277743909,8858,43,20816,0,16:41:28:300039
696650,14029,614572,277743912,8858,43,20816,0,16:41:28:314326
696650,14029,614572,277743915,8858,43,20816,0,16:41:28:329033
696650,14029,614575,277743917,8858,43,20816,0,16:41:28:345945
696651,14029,614578,277743921,8858,43,20816,0,16:41:28:364846
696651,14029,614580,277743922,8858,43,20816,0,16:41:28:382802
696652,14029,614581,277743928,8858,43,20816,0,16:41:28:405299
696653,14029,614584,277743930,8858,43,20816,0,16:41:28:424286
696654,14029,614587,277743935,8858,43,20816,0,16:41:28:441539
696654,14029,614591,277743936,8858,43,20816,0,16:41:28:457124
696655,14029,614593,277743940,8858,43,20816,0,16:41:28:475040
696655,14029,614595,277743942,8858,43,20816,0,16:41:28:492006
696655,14029,614602,277743945,8858,43,20816,0,16:41:28:506057
696656,14029,614603,277743946,8858,43,20816,0,16:41:28:519563
696656,14029,614605,277743950,8858,43,20816,0,16:41:28:536054
696656,14029,614610,277743953,8858,43,20816,0,16:41:28:554774
