,time[ms],pmodel
0,0,1.429604667309536
1,100,1.429604667309536
2,200,1.4145181342864914
3,300,1.2016514812672456
4,400,1.3645619055746478
5,500,1.2470817603590345
6,600,1.2588349738731783
7,700,1.2524396461382894
8,800,1.1821366152079
9,900,1.2085611551464877
10,1000,1.163216030625097
11,1100,1.2250703161371708
12,1200,1.1961291090813146
13,1300,1.126997835321387
14,1400,1.0451422246731603
15,1500,1.0124474308136895
16,1600,1.0663541817508002
17,1700,1.1964003055929302
18,1800,0.9796393332824608
19,1900,0.8999265706245462
20,2000,1.023339824210956
21,2100,0.8040992621925446
22,2200,0.9421735924110844
23,2300,1.0107403590797683
24,2400,1.0671325325372476
25,2500,1.1260360156319105
26,2600,1.1550944278104214
27,2700,1.0945050577447555
28,2800,1.1938085098558662
29,2900,1.0284722596940248
30,3000,0.94802089758658
31,3100,1.1181500751685105
32,3200,0.918826873787879
33,3300,1.1676741338201935
34,3400,0.9808110695231728
35,3500,1.166372258620426
36,3600,1.1517129613223442
37,3700,0.9710842751327967
38,3800,0.868119681509165
39,3900,1.103372265821065
40,4000,1.1323185834799299
41,4100,1.0675255484141157
42,4200,1.123568373515941
43,4300,0.9094573625615336
44,4400,0.8820387430034956
45,4500,0.9132930846550139
46,4600,0.9132930846550139
47,4700,0.9132930846550139
48,4800,0.9132930846550139
49,4900,0.9132930846550139
50,5000,0.9132930846550139
51,5100,0.9132930846550139
52,5200,0.9132930846550139
53,5300,0.9132930846550139
54,5400,0.9132930846550139
55,5500,0.9132930846550139
56,5600,0.9132930846550139
57,5700,1.1422429866323784
58,5800,1.1172073243768996
59,5900,0.9796265173055673
60,6000,1.071669680018093
61,6100,0.9848827008456332
62,6200,1.0458072367775317
63,6300,1.1716924192693328
64,6400,1.0345311351610333
65,6500,0.90459891931473
66,6600,0.9040139443154954
67,6700,0.8115841844916946
68,6800,0.9765858635920747
69,6900,1.1334406288694638
70,7000,1.0399278739937023
71,7100,1.0798240292229075
72,7200,0.9925055521114771
73,7300,1.110146928104398
74,7400,0.8915499981388544
75,7500,0.9027869336555556
76,7600,0.8496274737733919
77,7700,0.8472485102301588
78,7800,0.7858077786453629
79,7900,
80,8000,
