time,w
13:19:57:851470,2.21517
13:19:58:118743,2.2246
13:19:58:387592,2.2246
13:19:58:660807,2.21517
13:19:58:958492,2.21517
13:19:59:195750,2.2246
13:19:59:471868,2.2246
13:19:59:741857,2.2246
13:20:00:039276,2.2246
13:20:00:275947,2.2246
13:20:00:547226,2.2246
13:20:00:823452,2.2197
13:20:01:109656,2.2197
13:20:01:354627,2.2246
13:20:01:622665,2.2246
13:20:01:903472,2.2197
13:20:02:181015,2.2197
13:20:02:451157,2.2246
13:20:02:717166,2.2246
13:20:03:046764,2.2197
13:20:03:264633,2.2197
13:20:03:522196,2.2246
13:20:03:799503,2.2246
13:20:04:098812,2.2197
13:20:04:330884,2.2197
13:20:04:613367,2.2197
13:20:04:876339,2.2197
13:20:05:178833,2.2197
13:20:05:423603,2.2197
13:20:05:702066,2.2246
13:20:05:974812,2.2246
