,time[ms],pmodel
0,0,1.5847160320744682
1,100,1.5847160320744682
2,200,1.4036827945678736
3,300,1.4064160093668243
4,400,1.413021814740672
5,500,1.3520969216471066
6,600,1.5284005398647085
7,700,1.6789436149361605
8,800,1.5629159857390982
9,900,1.2874342964775072
10,1000,1.387728069090696
11,1100,1.432793027458275
12,1200,1.3391999768919631
13,1300,1.3856505802322139
14,1400,1.0659068991371012
15,1500,1.0890283452013425
16,1600,1.199816122341991
17,1700,1.1557750849458874
18,1800,1.2856345397637088
19,1900,1.0211222932044484
20,2000,1.1162630185723645
21,2100,1.161610541520563
22,2200,1.0871797438413635
23,2300,0.9964277612443303
24,2400,0.7472397482281462
25,2500,0.7495025921491189
26,2600,0.7122789231963353
27,2700,1.1620802098322538
28,2800,1.1847798412081447
29,2900,1.0428431907655358
30,3000,0.9482215396057451
31,3100,1.158461888383512
32,3200,1.0982832479820184
33,3300,1.3083933728096406
34,3400,0.7122292881903296
35,3500,0.6595664189516939
36,3600,0.6490334950350272
37,3700,0.8716314472043676
38,3800,1.1486610828895478
39,3900,1.1173007499003793
40,4000,1.1480853947160172
41,4100,1.2373862486981508
42,4200,1.233620882805448
43,4300,1.3504292534341977
44,4400,1.0597911120069576
45,4500,0.9601341646196419
46,4600,0.8782084372349228
47,4700,0.8218261679327731
48,4800,1.0041668726666666
49,4900,1.1048914313751061
50,5000,0.9741297908396175
51,5100,0.9226895370982374
52,5200,0.9744695999203538
53,5300,0.9811951206549113
54,5400,1.0403014291747046
55,5500,1.043548055517212
56,5600,1.1475125685100105
57,5700,1.069859677465852
58,5800,0.9510201602448004
59,5900,1.0732526841221897
60,6000,1.178391033448821
61,6100,1.2106962385528228
62,6200,1.1016520220279724
63,6300,1.0821791830888272
64,6400,1.017241966359276
65,6500,0.8605223936664322
66,6600,0.8188400549857012
67,6700,0.8356847565614588
68,6800,0.9982168141857032
69,6900,1.0180100313791525
70,7000,1.218357654521756
71,7100,0.8951722910299145
72,7200,1.0207770214866665
73,7300,1.0601479535335105
74,7400,1.0397027853671736
75,7500,1.0745343667054028
76,7600,0.8751191615652224
77,7700,0.9566441082929295
78,7800,
79,7900,
80,8000,
