time,w
12:31:15:424109,2.22876
12:31:15:628050,2.22876
12:31:15:896204,2.22423
12:31:16:167244,2.22423
12:31:16:463256,2.22876
12:31:16:708594,2.22876
12:31:16:991829,2.22876
12:31:17:287225,2.22876
12:31:17:527205,2.23368
12:31:17:790618,2.23368
12:31:18:061867,2.22876
12:31:18:384757,2.22876
12:31:18:607538,2.22876
12:31:18:917367,2.22876
12:31:19:150961,2.22876
12:31:19:463333,2.22876
12:31:19:688504,2.22876
12:31:19:951834,2.22876
12:31:20:259274,2.22876
12:31:20:527814,2.22876
12:31:20:777078,2.22876
12:31:21:038429,2.22876
12:31:21:338014,2.22876
12:31:21:665027,2.22876
12:31:21:848800,2.22876
12:31:22:126381,2.22876
12:31:22:418770,2.22876
12:31:22:673910,2.22876
12:31:22:948472,2.22876
12:31:23:210582,2.22876
