time,w
00:42:35:268883,1.60704
00:42:35:539790,1.60704
00:42:35:811469,1.54256
00:42:36:079832,1.54256
00:42:36:347085,1.30214
00:42:36:640565,1.30214
00:42:36:896386,0.78842
00:42:37:153887,0.78842
00:42:37:431179,0.555
00:42:37:739321,0.555
00:42:37:978663,0.525
00:42:38:245944,0.525
00:42:38:512834,0.5738500000000001
00:42:38:786564,0.5738500000000001
00:42:39:055133,0.54
00:42:39:331291,0.54
00:42:39:597703,0.47
00:42:39:877054,0.47
00:42:40:142061,0.6536900000000001
00:42:40:418331,0.6536900000000001
00:42:40:681967,0.48
00:42:40:957078,0.48
00:42:41:224754,0.49
00:42:41:508233,0.49
00:42:41:791211,0.70858
00:42:42:049298,0.70858
00:42:42:310523,0.5800000000000001
00:42:42:592290,0.5800000000000001
00:42:42:884371,0.6
00:42:43:133859,0.6
00:42:43:427247,0.49
