,time[ms],cpu_load,cpu_scaling_freq
0,0,,
1,100,,
2,200,,
3,300,0.8603351955307262,
4,400,0.7988165680473372,
5,500,0.7650273224043715,
6,600,0.9272727272727272,
7,700,0.8653846153846154,
8,800,0.8435754189944135,
9,900,0.8625954198473282,
10,1000,0.8,
11,1100,0.8421052631578947,
12,1200,0.7307692307692307,
13,1300,0.7777777777777778,
14,1400,0.6648351648351648,
15,1500,0.6171875,
16,1600,0.6335877862595419,
17,1700,0.5628140703517588,
18,1800,0.6071428571428571,
19,1900,0.6159420289855072,
20,2000,0.6318681318681318,
21,2100,0.6086956521739131,
22,2200,0.3644859813084112,
23,2300,0.6974789915966386,
24,2400,0.6511627906976745,
25,2500,0.6369426751592356,
26,2600,0.6408450704225352,
27,2700,0.6451612903225806,
28,2800,0.5714285714285714,
29,2900,0.6407185628742516,
30,3000,0.6538461538461539,
31,3100,0.6453900709219859,
32,3200,0.6511627906976745,
33,3300,0.3821138211382114,
34,3400,0.6016949152542372,
35,3500,0.6615384615384615,
36,3600,0.6405228758169934,
37,3700,0.6304347826086957,
38,3800,0.66,
39,3900,0.5967741935483871,
40,4000,0.5842696629213483,
41,4100,0.5833333333333334,
42,4200,0.5964912280701754,
43,4300,,
44,4400,,
45,4500,0.5502958579881657,
46,4600,0.6223404255319149,
47,4700,0.7261904761904762,
48,4800,0.7278481012658228,
49,4900,0.6033057851239669,
50,5000,0.6381578947368421,
51,5100,0.5674157303370787,
52,5200,0.6794871794871795,
53,5300,0.8072289156626506,
54,5400,0.7443609022556391,
55,5500,0.6758241758241759,
56,5600,0.6490066225165563,
57,5700,0.6343612335014189,
58,5800,0.5976562499821942,
59,5900,0.6229508196721312,
60,6000,0.5868263473053892,
61,6100,0.6363636363636364,
62,6200,0.6377551020408163,
63,6300,0.6028368794326241,
64,6400,0.5609756097560976,
65,6500,0.3434343434343434,
66,6600,0.6466666666666666,
67,6700,0.6139240506329114,
68,6800,0.6887417218543046,
69,6900,0.6384180790960452,
70,7000,0.5919540229885057,
71,7100,0.5942028985507246,
72,7200,0.6235294117647059,
73,7300,0.547945205479452,
74,7400,0.5705882352941176,
75,7500,0.6222222222222222,
76,7600,0.6232876712328768,
77,7700,0.6402877697841727,
78,7800,0.5957446808510638,
79,7900,0.6158940397350994,
80,8000,0.6025641025641025,
0,0,,
1,100,0.9576719576719576,
2,200,0.8360655737704918,
3,300,0.7610062893081762,
4,400,0.7692307692307693,
5,500,0.8136645962732919,
6,600,0.9152542372881356,
7,700,0.8474576271186439,
8,800,0.6451612903225806,
9,900,0.7272727272727273,
10,1000,,
11,1100,,
12,1200,0.9086021505376344,
13,1300,0.8198757763975155,
14,1400,0.7637362637362637,
15,1500,0.6347826086956522,
16,1600,0.5845070422535211,
17,1700,0.5819672131147541,
18,1800,0.6086956521739131,
19,1900,0.4473684210526316,
20,2000,0.6117021276595744,
21,2100,0.59375,
22,2200,0.6137566137566137,
23,2300,0.6114649681528662,
24,2400,0.5629139072847682,
25,2500,0.6264367816091954,
26,2600,0.6322580645161291,
27,2700,0.59375,
28,2800,0.56,
29,2900,0.3278688524590164,
30,3000,0.64,
31,3100,0.6075949367088608,
32,3200,0.6222222222222222,
33,3300,0.56,
34,3400,0.625,
35,3500,0.5613382899464711,
36,3600,0.5857142857306032,
37,3700,0.6259541984732825,
38,3800,0.6299212598425197,
