0,1.4346299999999998
100,
200,
300,1.27946
400,
500,1.27946
600,
700,
800,0.5727000000000001
900,
1000,
1100,0.5727000000000001
1200,
1300,1.4346299999999998
1400,
1500,
1600,1.4346299999999998
1700,
1800,
1900,1.02176
2000,
2100,1.02176
2200,
2300,
2400,0.53286
2500,
2600,
2700,0.53286
2800,
2900,0.46407
3000,
3100,
3200,0.46407
3300,
3400,
3500,0.5029800000000001
3600,
3700,
3800,0.5029800000000001
3900,
4000,0.4731
4100,
4200,
4300,0.4731
4400,
4500,
4600,0.4930200000000001
4700,
4800,0.4930200000000001
4900,
5000,
5100,0.89776
5200,
5300,
5400,0.89776
5500,
5600,
5700,0.4940100000000001
5800,
5900,0.4940100000000001
6000,
6100,
6200,0.56274
6300,
6400,
6500,0.56274
6600,
6700,0.48403
6800,
6900,
7000,0.48403
7100,
7200,
7300,0.5039899999999999
7400,
7500,
7600,0.5039899999999999
7700,
7800,0.5129400000000001
7900,
8000,
8100,0.5129400000000001
