time,w
18:36:00:587183,2.01144
18:36:00:909302,2.01144
18:36:01:131421,2.01144
18:36:01:401927,2.01144
18:36:01:662122,2.01144
18:36:01:996548,2.01144
18:36:02:201564,2.01144
18:36:02:483486,2.01144
18:36:02:750516,2.01144
18:36:03:049838,2.01144
18:36:03:291358,2.01144
18:36:03:568677,2.01144
18:36:03:858454,2.01144
18:36:04:098469,2.01144
18:36:04:370028,2.01144
18:36:04:650764,2.01144
18:36:04:937679,2.01144
18:36:05:192882,2.01144
18:36:05:463732,2.01144
18:36:05:726871,2.01144
18:36:06:004263,2.01144
18:36:06:263252,2.01144
18:36:06:542684,2.01144
18:36:06:809963,2.01144
18:36:07:121172,2.01144
18:36:07:365159,2.01144
18:36:07:627637,2.01144
18:36:07:949073,2.01144
18:36:08:159480,2.01144
18:36:08:442346,2.01144
18:36:08:703702,2.01144
