time,w
18:38:15:062253,2.0163699999999998
18:38:15:317033,2.01144
18:38:15:601507,2.01144
18:38:15:893493,2.01144
18:38:16:132981,2.01144
18:38:16:401071,2.01144
18:38:16:699010,2.01144
18:38:16:950908,2.01144
18:38:17:220517,2.01144
18:38:17:494297,2.01144
18:38:17:783873,2.01144
18:38:18:029321,2.01144
18:38:18:299381,2.01144
18:38:18:585000,2.01144
18:38:18:891431,2.01144
18:38:19:135659,2.01144
18:38:19:395926,2.01144
18:38:19:685146,2.01144
18:38:19:984796,2.01144
18:38:20:202498,2.01144
18:38:20:470835,2.01144
18:38:20:754908,2.01144
18:38:21:088292,2.01144
18:38:21:293682,2.01144
18:38:21:555928,2.01144
18:38:21:864548,2.01144
18:38:22:101312,2.01144
18:38:22:361651,2.01144
18:38:22:639711,2.01144
18:38:22:927149,2.01144
