time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,,
200,,1996.0
300,1.0,1996.0
400,0.9333333333333333,1996.0
500,,
600,,1996.0
700,,
800,,1996.0
900,1.0,1996.0
1000,0.9090909090909091,1996.0
1100,,
1200,,
1300,,1996.0
1400,,
1500,,
1600,,1843.0
1700,,
1800,,1996.0
1900,,
2000,,
2100,,1996.0
2200,,
2300,,
2400,,
2500,,1996.0
2600,,
2700,,
2800,,1996.0
2900,1.0,1996.0
3000,1.0,1996.0
3100,1.0,1996.0
3200,,
3300,,1996.0
3400,1.0,1996.0
3500,1.0,1996.0
3600,1.0,1996.0
3700,1.0,1996.0
3800,,
3900,,1996.0
4000,1.0,1996.0
4100,0.9,1996.0
4200,0.8333333333333334,1996.0
4300,0.8181818181818182,1996.0
4400,0.8333333333333334,1996.0
4500,1.0,1996.0
4600,0.8,1996.0
4700,,
4800,,1996.0
4900,0.9166666666666666,1996.0
5000,0.8888888888888888,1996.0
5100,0.9090909090909091,1996.0
5200,0.9,1996.0
5300,1.0,1996.0
5400,1.0,1996.0
5500,1.0,1996.0
5600,,
5700,,1996.0
5800,1.0,1996.0
5900,1.0,1996.0
6000,0.9090909090909091,1996.0
6100,1.0,1996.0
6200,1.0,1996.0
6300,0.9,1996.0
6400,0.5454545454545454,1996.0
6500,0.18181818181818182,1996.0
6600,,
6700,,1996.0
6800,0.75,1996.0
6900,0.7272727272727273,1996.0
7000,0.2,1363.0
7100,0.3333333333333333,1996.0
7200,0.3333333333333333,1996.0
7300,0.3,825.0
7400,0.3,1747.0
7500,0.4,1996.0
7600,0.1111111111111111,825.0
7700,0.2727272727272727,1747.0
7800,0.09090909090909091,1747.0
7900,0.2222222222222222,1536.0
