time,w
01:24:50:455115,1.3091000000000002
01:24:50:732370,1.4198399999999998
01:24:51:028820,1.4198399999999998
01:24:51:266486,0.51792
01:24:51:541574,0.51792
01:24:51:816558,1.4296999999999997
01:24:52:129022,1.4296999999999997
01:24:52:358467,0.9424
01:24:52:628941,0.9424
01:24:52:896210,0.6125400000000001
01:24:53:172758,0.6125400000000001
01:24:53:435988,0.49800000000000005
01:24:53:703933,0.49800000000000005
01:24:53:982705,0.49401000000000006
01:24:54:242305,0.49401000000000006
01:24:54:525054,0.5029800000000001
01:24:54:787571,0.5029800000000001
01:24:55:071767,0.4880400000000001
01:24:55:338021,0.4880400000000001
01:24:55:611401,0.90272
01:24:55:871437,0.90272
01:24:56:161481,0.48306000000000004
01:24:56:429036,0.48306000000000004
01:24:56:692132,0.5428200000000001
01:24:56:967121,0.5428200000000001
01:24:57:270671,0.48902000000000007
01:24:57:503596,0.48902000000000007
01:24:57:774855,0.49302000000000007
01:24:58:045201,0.49302000000000007
01:24:58:375083,0.48403
01:24:58:583538,0.48403
