,time[ms],pmodel
0,0,1.3953340997137835
1,100,1.3953340997137835
2,200,1.298153959605659
3,300,1.3840420767272592
4,400,1.5552504415193793
5,500,1.4438285717882366
6,600,1.5085074381306547
7,700,1.413599875582856
8,800,1.2425185509209036
9,900,1.3100014733912224
10,1000,1.2411373993295767
11,1100,1.234263694412721
12,1200,1.039025074961693
13,1300,0.8609632582409132
14,1400,0.8609632582409132
15,1500,0.8609632582409132
16,1600,0.8609632582409132
17,1700,1.10679205219395
18,1800,1.0383077446623465
19,1900,0.9613090907621283
20,2000,0.9964721429269526
21,2100,0.9782294281903768
22,2200,1.2039775258503358
23,2300,1.0152012439214841
24,2400,1.093024568748426
25,2500,0.7103498435367992
26,2600,0.6892606882283842
27,2700,0.5837177244946449
28,2800,0.8089623822176019
29,2900,1.0408177207571443
30,3000,0.9710096994237013
31,3100,1.0383567107525256
32,3200,1.1079642671895424
33,3300,1.0049193446136364
34,3400,1.0979104142140126
35,3500,0.9460119914046011
36,3600,0.6676075700942583
37,3700,0.6381018781493307
38,3800,0.5745326267201843
39,3900,1.2585513496538465
40,4000,1.12877740832094
41,4100,1.0809638733695421
42,4200,1.0789113293113095
43,4300,1.0022317838517907
44,4400,1.1411708546661181
45,4500,1.1261290528165997
46,4600,1.0990673116801317
47,4700,1.0202419383871644
48,4800,0.9177668048203101
49,4900,0.9420315591239194
50,5000,1.2142642290350496
51,5100,1.129128905593642
52,5200,1.1960346935206307
53,5300,1.149334748466667
54,5400,1.1030715655190075
55,5500,1.2497133685655042
56,5600,1.0708030888430211
57,5700,0.8462388158475049
58,5800,0.8877304186747198
59,5900,0.8421174640274454
60,6000,1.0183535996256339
61,6100,0.9950692613256761
62,6200,1.077942514802114
63,6300,1.091954767317954
64,6400,1.075466806928738
65,6500,1.0692992841108095
66,6600,0.8874910822382513
67,6700,0.7680184586064477
68,6800,0.7837424988817633
69,6900,0.9520594176130547
70,7000,1.0892692271162914
71,7100,1.2157884403850039
72,7200,1.0805879167297983
73,7300,1.1600544081268116
74,7400,1.0578151715128206
75,7500,1.0372432232498285
76,7600,1.1029775586047608
77,7700,
78,7800,
79,7900,
80,8000,
