time,w
01:37:28:469215,1.06144
01:37:28:740415,1.4326
01:37:29:003642,1.4326
01:37:29:285172,1.4326
01:37:29:552176,1.4326
01:37:29:811266,1.1682
01:37:30:109076,1.1682
01:37:30:359129,0.6424200000000001
01:37:30:630869,0.6424200000000001
01:37:30:906439,0.55776
01:37:31:221478,0.55776
01:37:31:438979,0.54391
01:37:31:723311,0.54391
01:37:31:992054,0.56274
01:37:32:264100,0.56274
01:37:32:538296,0.63246
01:37:32:803298,0.63246
01:37:33:070890,0.5428200000000001
01:37:33:345702,0.5428200000000001
01:37:33:609539,0.6822600000000001
01:37:33:882500,0.6822600000000001
01:37:34:180298,0.50898
01:37:34:429761,0.50898
01:37:34:701583,0.55776
01:37:34:970457,0.55776
01:37:35:253529,0.5727000000000001
01:37:35:507079,0.5727000000000001
01:37:35:785848,0.58764
01:37:36:052327,0.58764
01:37:36:352351,0.5478000000000001
01:37:36:591043,0.5478000000000001
