,time[ms],cpu_load,cpu_scaling_freq
0,0,,
1,100,0.9111111111111112,
2,200,0.9894736842105264,
3,300,0.981132075471698,
4,400,0.971291866028708,
5,500,0.9130434782608696,
6,600,0.9444444444444444,
7,700,0.8950276243093923,
8,800,0.8819875776397516,
9,900,0.8192771084337349,
10,1000,0.8285714285714286,
11,1100,0.7391304347826086,
12,1200,0.728110599078341,
13,1300,0.9479768786127168,
14,1400,0.8982035928143712,
15,1500,0.8372093023255814,
16,1600,0.86,
17,1700,0.8045977011494253,
18,1800,0.649746192893401,
19,1900,0.6422764227642277,
20,2000,0.689922480620155,
21,2100,0.6598639455782312,
22,2200,0.3402061855670103,
23,2300,0.6764705882352942,
24,2400,0.6555555555555556,
25,2500,0.6081081081081081,
26,2600,0.6466666666666666,
27,2700,0.6077348066298343,
28,2800,0.6390977443609023,
29,2900,0.6306818181818182,
30,3000,0.6304347826086957,
31,3100,0.5928571428571429,
32,3200,0.6585365853658537,
33,3300,0.3793103448275862,
34,3400,0.6666666666666666,
35,3500,0.6428571428571429,
36,3600,0.6705202312138728,
37,3700,0.6242038216560509,
38,3800,0.6217948717948718,
39,3900,0.625,
40,4000,0.6648044692737429,
41,4100,0.6241134751773051,
42,4200,0.65,
43,4300,0.6888888888888889,
44,4400,0.5809128630705395,
45,4500,0.6073059360730594,
46,4600,0.5579710144927537,
47,4700,0.6641221374045801,
48,4800,0.6623376623376623,
49,4900,0.6158536585365854,
50,5000,0.6578947368421053,
51,5100,0.6503496503496503,
52,5200,0.6257668711656442,
53,5300,0.6666666666666666,
54,5400,0.6614173228346457,
55,5500,0.55,
56,5600,0.5901639344262295,
57,5700,0.5512195121951221,
58,5800,0.5783783783783784,
59,5900,0.674074074074074,
60,6000,0.6421052631578947,
61,6100,0.5897435897435898,
62,6200,0.6273291925465838,
63,6300,0.6689655172413793,
64,6400,0.4751131221719457,
65,6500,0.6030534351145038,
66,6600,0.6551724137931034,
67,6700,0.6589147286821705,
68,6800,0.6242424242424243,
69,6900,0.6595744680851063,
70,7000,0.6453900709219859,
71,7100,0.6428571428571429,
72,7200,0.6439790575916229,
73,7300,0.6312056737588653,
74,7400,0.6241610738255033,
75,7500,0.6201923076923077,
76,7600,0.688,
77,7700,0.6222222222222222,
78,7800,0.6540540540540539,
79,7900,0.6573426573426573,
80,8000,0.635036496350365,
0,0,,
1,100,0.9740259740259741,
2,200,0.90625,
3,300,0.9885057471264368,
4,400,0.9491525423728814,
5,500,0.9085714285714286,
6,600,0.914691943127962,
7,700,0.9066666666666666,
8,800,0.6517857142857143,
9,900,0.9111111111111112,
10,1000,0.8086419753086421,
11,1100,0.7987012987012987,
12,1200,0.8723404255319149,
13,1300,0.9301075268817204,
14,1400,,
15,1500,,
16,1600,0.9128440366972476,
17,1700,0.7808219178082192,
18,1800,,
19,1900,,
20,2000,0.5462555066079295,
21,2100,0.6363636363636364,
22,2200,0.6274509803921569,
23,2300,0.591715976331361,
24,2400,0.5757575757575758,
25,2500,0.6709677419354839,
26,2600,0.65625,
27,2700,0.6298701298701299,
28,2800,0.6163522012578616,
29,2900,0.6111111111111112,
30,3000,0.3592233009708738,
31,3100,0.6382978723404256,
32,3200,0.6373056994818653,
33,3300,0.6666666666666666,
34,3400,0.6241610738255033,
