time,w
19:36:16:273729,1.4384
19:36:16:509692,1.4384
19:36:16:784408,1.3916000000000002
19:36:17:041490,1.3916000000000002
19:36:17:323287,0.9561600000000001
19:36:17:580191,0.9561600000000001
19:36:17:851597,0.475
19:36:18:136910,0.475
19:36:18:401949,0.5489
19:36:18:670672,0.5489
19:36:18:936205,0.51397
19:36:19:246447,0.51397
19:36:19:489360,0.51896
19:36:19:761404,0.51896
19:36:20:021013,0.51397
19:36:20:371589,0.51397
19:36:20:574636,0.6536900000000001
19:36:20:844200,0.6536900000000001
19:36:21:107864,0.48
19:36:21:423929,0.48
19:36:21:641899,0.55888
19:36:21:918292,0.55888
19:36:22:226761,0.45499999999999996
19:36:22:454396,0.45499999999999996
19:36:22:733169,0.535
19:36:23:001821,0.535
19:36:23:278210,0.48
19:36:23:553030,0.48
19:36:23:819991,0.47
19:36:24:086848,0.47
19:36:24:375210,0.485
