time,w
23:52:52:419734,1.53076
23:52:52:704199,1.71616
23:52:52:947352,1.71616
23:52:53:235312,1.1703000000000001
23:52:53:489064,1.1703000000000001
23:52:53:812223,0.47
23:52:54:038670,0.47
23:52:54:311921,0.47093999999999997
23:52:54:581142,0.47093999999999997
23:52:54:884928,0.505
23:52:55:127861,0.505
23:52:55:401289,0.495
23:52:55:663446,0.495
23:52:55:936726,0.45999999999999996
23:52:56:209625,0.45999999999999996
23:52:56:484019,0.5750000000000001
23:52:56:750297,0.5750000000000001
23:52:57:019755,0.46592999999999996
23:52:57:293011,0.46592999999999996
23:52:57:561105,0.505
23:52:57:837122,0.505
23:52:58:113984,0.5
23:52:58:386236,0.5
23:52:58:659026,0.51
23:52:58:949152,0.51
23:52:59:192020,0.495
23:52:59:465137,0.495
23:52:59:741597,0.5
23:53:00:034646,0.5
23:53:00:283969,0.5650000000000001
23:53:00:555923,0.5650000000000001
